Pincode, isOda, Zone
110001, False, N1
110002, False, N1
110003, False, N1
110004, False, N1
110005, False, N1
110006, False, N1
110007, False, N1
110008, False, N1
110009, False, N1
110010, False, N1
110011, False, N1
110012, False, N1
110013, False, N1
110014, False, N1
110015, False, N1
110016, False, N1
110017, False, N1
110018, False, N1
110019, False, N1
110020, False, N1
110021, False, N1
110022, False, N1
110023, False, N1
110024, False, N1
110025, False, N1
110026, False, N1
110027, False, N1
110028, False, N1
110029, False, N1
110030, False, N1
110031, False, N1
110032, False, N1
110033, False, N1
110034, False, N1
110035, False, N1
110036, False, N1
110037, False, N1
110038, False, N1
110039, False, N1
110040, False, N1
110041, False, N1
110042, False, N1
110043, False, N1
110044, False, N1
110045, False, N1
110046, False, N1
110047, False, N1
110048, False, N1
110049, False, N1
110050, False, N1
110051, False, N1
110052, False, N1
110053, False, N1
110054, False, N1
110055, False, N1
110056, False, N1
110057, False, N1
110058, False, N1
110059, False, N1
110060, False, N1
110061, False, N1
110062, False, N1
110063, False, N1
110064, False, N1
110065, False, N1
110066, False, N1
110067, False, N1
110068, False, N1
110069, False, N1
110070, False, N1
110071, False, N1
110072, False, N1
110073, False, N1
110074, False, N1
110075, False, N1
110076, False, N1
110077, False, N1
110078, False, N1
110079, False, N1
110080, False, N1
110081, False, N1
110082, False, N1
110083, False, N1
110084, False, N1
110085, False, N1
110086, False, N1
110087, False, N1
110088, False, N1
110089, False, N1
110090, False, N1
110091, False, N1
110092, False, N1
110093, False, N1
110094, False, N1
110095, False, N1
110096, False, N1
110097, False, N1
110098, False, N1
110099, False, N1
110100, False, N1
110101, False, N1
110102, False, N1
110103, False, N1
110104, False, N1
110105, False, N1
110106, False, N1
110107, False, N1
110108, False, N1
110109, False, N1
110110, False, N1
110112, False, N1
110113, False, N1
110114, False, N1
110115, False, N1
110116, False, N1
110117, False, N1
110118, False, N1
110119, False, N1
110120, False, N1
110121, False, N1
110122, False, N1
110124, False, N1
110125, False, N1
110301, False, N1
110302, False, N1
110401, False, N1
110402, False, N1
110403, False, N1
110501, False, N1
110502, False, N1
110503, False, N1
110504, False, N1
110505, False, N1
110506, False, N1
110507, False, N1
110508, False, N1
110509, False, N1
110510, False, N1
110511, False, N1
110512, False, N1
110601, False, N1
110602, False, N1
110603, False, N1
110604, False, N1
110605, False, N1
110606, False, N1
110607, False, N1
110608, False, N1
110609, False, N1
111112, False, N1
111120, False, N1
121000, False, N1
121001, False, N1
121002, False, N1
121003, False, N1
121004, False, N1
121005, False, N1
121006, False, N1
121007, False, N1
121008, False, N1
121009, False, N1
121010, False, N1
121011, False, N1
121012, False, N1
121013, False, N1
121014, False, N1
121015, False, N1
121101, False, N1
121102, False, N1
121103, True, N3
121105, False, N3
121106, True, N3
121107, True, N3
122000, False, N1
122001, False, N1
122002, False, N1
122003, False, N1
122004, False, N1
122005, False, N1
122006, False, N1
122007, False, N1
122008, False, N1
122009, False, N1
122010, False, N1
122011, False, N1
122012, False, N1
122013, False, N1
122014, False, N1
122015, False, N1
122016, False, N1
122017, False, N1
122018, False, N1
122019, False, N1
122021, False, N1
122022, False, N1
122050, False, N3
122051, False, N3
122052, False, N3
122055, False, N1
122098, True, N1
122100, False, N1
122101, False, N1
122102, False, N1
122103, False, N3
122104, True, N3
122105, False, N3
122106, False, N3
122108, True, N3
122109, False, N1
122110, False, N3
122203, False, N1
122204, False, N1
122206, False, N1
122207, False, N1
122208, False, N1
122209, False, N1
122210, False, N1
122211, False, N1
122213, False, N1
122214, False, N1
122215, False, N1
122216, False, N1
122217, False, N1
122218, False, N1
122219, False, N1
122220, False, N1
122223, False, N1
122224, False, N1
122225, False, N1
122226, False, N1
122227, False, N1
122228, False, N1
122229, False, N1
122230, False, N1
122231, False, N1
122232, False, N1
122233, False, N1
122234, False, N1
122413, False, N3
122414, True, N3
122502, False, N3
122503, False, N3
122504, False, N3
122505, False, N1
122506, False, N1
122508, True, N3
123001, True, N3
123003, False, N1
123021, True, N3
123023, True, N3
123024, True, N3
123027, True, N3
123028, True, N3
123029, True, N3
123031, True, N3
123034, True, N3
123035, True, N3
123101, True, N3
123102, True, N3
123103, True, N3
123106, False, N3
123110, False, N3
123301, True, N3
123302, True, N3
123303, True, N3
123305, True, N3
123401, False, N3
123411, True, N3
123412, True, N3
123413, False, N3
123414, False, N3
123501, False, N3
123502, False, N3
123503, False, N3
123504, False, N3
123505, False, N1
123506, False, N3
123507, False, N1
124001, False, N3
124010, True, N3
124021, True, N3
124022, True, N3
124101, False, N3
124102, True, N3
124103, False, N3
124104, False, N3
124105, False, N1
124106, True, N3
124107, False, N3
124108, False, N1
124109, False, N3
124111, True, N3
124112, True, N3
124113, True, N3
124127, False, N3
124141, False, N3
124142, True, N3
124146, False, N3
124201, False, N3
124202, False, N3
124303, True, N3
124401, True, N3
124404, False, N3
124406, True, N3
124411, True, N3
124412, False, N3
124416, False, N3
124501, False, N1
124502, False, N1
124504, False, N3
124505, False, N1
124506, False, N1
124507, False, N1
124508, False, N1
124513, True, N3
124514, True, N3
124517, True, N3
125001, False, N3
125002, False, N3
125003, False, N3
125004, False, N3
125005, False, N3
125006, False, N3
125007, False, N3
125011, False, N3
125021, False, N3
125033, False, N3
125037, False, N3
125038, False, N3
125039, True, N3
125042, False, N3
125044, False, N3
125047, True, N3
125048, True, N3
125049, True, N3
125050, True, N3
125051, True, N3
125052, True, N3
125053, True, N3
125054, True, N3
125055, True, N3
125056, False, N3
125058, True, N3
125060, True, N3
125075, True, N3
125076, True, N3
125077, True, N3
125078, True, N3
125101, True, N3
125102, True, N3
125103, True, N3
125104, True, N3
125106, True, N3
125110, True, N3
125111, True, N3
125112, False, N3
125113, False, N3
125120, True, N3
125121, True, N3
125122, True, N3
125133, True, N3
125201, True, N3
126101, False, N3
126102, False, N3
126110, True, N3
126111, True, N3
126112, True, N3
126113, True, N3
126114, True, N3
126115, True, N3
126116, True, N3
126125, True, N3
126152, True, N3
127020, False, N3
127021, False, N3
127022, True, N3
127025, True, N3
127026, True, N3
127027, True, N3
127028, True, N3
127029, True, N3
127030, True, N3
127031, True, N3
127032, True, N3
127035, True, N3
127040, True, N3
127041, True, N3
127042, True, N3
127043, True, N3
127045, True, N3
127046, True, N3
127110, True, N3
127111, True, N3
127114, False, N3
127201, True, N3
127306, True, N3
127307, True, N3
127308, True, N3
127309, True, N3
127310, True, N3
127311, True, N3
127312, True, N3
131001, False, N3
131002, False, N3
131021, False, N3
131022, True, N3
131023, False, N3
131024, False, N3
131027, False, N3
131028, False, N3
131029, False, N3
131030, False, N3
131039, False, N3
131040, False, N3
131101, True, N3
131102, True, N3
131103, True, N3
131301, True, N3
131302, True, N3
131303, False, N3
131304, True, N3
131305, True, N3
131306, True, N3
131310, False, N3
131402, True, N3
131403, False, N3
131408, True, N3
131409, True, N3
132001, False, N3
132022, False, N3
132023, False, N3
132024, False, N3
132026, False, N3
132036, False, N3
132037, False, N3
132039, True, N3
132040, True, N3
132041, True, N3
132046, True, N3
132054, True, N3
132101, False, N3
132102, False, N3
132103, False, N3
132104, True, N3
132105, True, N3
132106, True, N3
132107, True, N3
132108, True, N3
132110, False, N3
132113, True, N3
132114, True, N3
132115, False, N3
132116, True, N3
132117, True, N3
132118, False, N3
132122, True, N3
132123, False, N3
132140, True, N3
132145, True, N3
132151, False, N3
132157, True, N3
133001, False, N3
133002, False, N3
133003, False, N3
133004, False, N3
133005, False, N3
133006, False, N3
133007, False, N3
133008, False, N3
133010, False, N3
133021, False, N3
133101, False, N3
133102, False, N3
133103, True, N3
133104, False, N3
133105, False, N3
133201, True, N3
133202, False, N3
133203, False, N3
133204, True, N3
133205, False, N3
133206, True, N3
133207, False, N3
133301, False, N1
133302, False, N4
134001, False, N3
134002, False, N3
134003, False, N3
134005, False, N3
134007, False, N3
134008, False, N3
134011, False, N3
134012, False, N3
134101, False, N1
134102, False, N4
134103, False, N1
134104, False, N1
134105, True, N4
134107, True, N1
134108, False, N1
134109, False, N1
134110, False, N1
134111, False, N1
134112, False, N1
134113, False, N1
134114, False, N1
134115, False, N1
134116, False, N1
134117, False, N1
134118, True, N1
134119, False, N1
134151, False, N1
134152, False, N1
134201, True, N3
134202, True, N3
134203, True, N3
134204, True, N1
134205, True, N3
135001, False, N3
135002, True, N3
135003, True, N3
135004, True, N3
135021, True, N3
135101, False, N3
135102, True, N3
135103, True, N3
135105, False, N3
135106, True, N3
135133, True, N3
136020, True, N3
136021, True, N3
136026, True, N3
136027, True, N3
136030, True, N3
136033, True, N3
136034, True, N3
136035, True, N3
136038, True, N3
136042, True, N3
136043, True, N3
136044, True, N3
136117, True, N3
136118, False, N3
136119, False, N3
136128, False, N3
136129, False, N3
136130, False, N3
136131, False, N3
136132, False, N3
136134, False, N3
136135, False, N3
136136, False, N3
136156, True, N3
140001, False, N3
140101, True, N3
140102, True, N3
140103, True, N3
140104, False, N3
140105, False, N1
140108, True, N3
140109, False, N3
140110, True, N3
140111, True, N3
140112, True, N3
140113, True, N3
140114, True, N3
140115, True, N3
140116, True, N3
140117, True, N3
140118, True, N3
140119, True, N3
140123, True, N3
140124, True, N3
140125, True, N3
140126, True, N3
140127, False, N3
140128, False, N3
140133, False, N3
140201, False, N1
140203, False, N3
140301, True, N3
140306, False, N3
140307, False, N3
140308, False, N3
140401, False, N3
140402, False, N3
140405, False, N3
140406, True, N3
140407, True, N3
140408, True, N3
140412, True, N3
140413, True, N3
140417, False, N3
140501, False, N3
140502, False, N1
140506, False, N3
140507, False, N3
140601, False, N3
140602, False, N3
140603, False, N3
140604, False, N1
140701, False, N3
140702, False, N3
140802, False, N3
140901, False, N3
141001, False, N2
141002, False, N2
141003, False, N2
141004, False, N2
141005, False, N2
141006, False, N2
141007, False, N2
141008, False, N2
141009, False, N2
141010, False, N2
141011, False, N2
141012, False, N2
141013, False, N2
141014, False, N2
141015, False, N2
141016, False, N2
141017, False, N2
141020, False, N2
141021, False, N2
141027, False, N2
141033, False, N2
141101, False, N2
141102, False, N2
141103, False, N2
141104, False, N3
141105, False, N3
141106, True, N3
141107, True, N3
141108, True, N3
141109, True, N3
141110, True, N2
141111, False, N2
141112, True, N2
141113, True, N2
141114, True, N2
141115, True, N3
141116, False, N2
141117, False, N2
141118, False, N2
141119, True, N3
141120, False, N2
141121, True, N3
141122, False, N2
141123, False, N2
141124, True, N2
141125, True, N3
141126, False, N2
141127, True, N2
141201, False, N2
141202, False, N3
141203, False, N2
141204, False, N2
141205, False, N3
141206, False, N2
141301, False, N3
141304, False, N3
141305, False, N3
141307, False, N3
141308, False, N3
141309, False, N3
141315, False, N3
141316, False, N3
141401, True, N2
141402, True, N2
141411, True, N3
141412, True, N2
141413, True, N3
141414, True, N3
141415, True, N3
141416, False, N2
141417, False, N2
141418, False, N2
141419, True, N3
141421, True, N2
141422, True, N3
141801, True, N3
142001, False, N3
142002, False, N3
142003, True, N3
142011, True, N3
142021, False, N2
142022, False, N2
142023, False, N3
142024, False, N3
142025, True, N3
142026, True, N3
142027, False, N2
142028, True, N3
142029, False, N2
142030, True, N3
142031, True, N3
142032, True, N3
142033, True, N3
142034, True, N3
142035, True, N3
142036, True, N3
142037, True, N3
142038, True, N3
142039, True, N3
142040, True, N3
142041, True, N3
142042, True, N3
142043, True, N3
142044, True, N3
142045, True, N3
142046, True, N3
142047, True, N3
142048, True, N3
142049, True, N3
142050, True, N3
142051, True, N3
142052, False, N3
142053, True, N3
142054, False, N3
142055, True, N3
142056, True, N3
142057, True, N3
142058, True, N3
142060, True, N3
142630, True, N3
143001, True, N3
143002, False, N3
143003, False, N3
143004, False, N3
143005, False, N3
143006, False, N3
143007, False, N3
143008, False, N3
143009, False, N3
143010, False, N3
143021, False, N3
143022, False, N3
143026, False, N3
143036, False, N3
143044, False, N3
143066, False, N3
143093, False, N3
143101, False, N3
143102, False, N3
143103, False, N3
143104, False, N3
143105, False, N3
143106, False, N3
143107, False, N3
143108, False, N3
143109, False, N3
143110, False, N3
143111, False, N3
143112, True, N3
143113, False, N3
143114, False, N3
143115, False, N3
143116, False, N3
143117, True, N3
143118, True, N3
143119, False, N3
143149, False, N3
143201, True, N3
143202, True, N3
143203, False, N3
143204, True, N3
143205, True, N3
143301, True, N3
143302, True, N3
143303, True, N3
143304, True, N3
143305, False, N3
143306, False, N3
143401, True, N3
143402, True, N3
143406, True, N3
143407, True, N3
143408, True, N3
143409, True, N3
143410, True, N3
143411, True, N3
143412, True, N3
143413, True, N3
143414, False, N3
143415, True, N3
143416, True, N3
143417, False, N3
143419, True, N3
143422, True, N3
143423, True, N3
143501, False, N3
143502, False, N3
143503, False, N3
143504, True, N3
143505, True, N3
143506, True, N3
143507, True, N3
143508, False, N3
143511, True, N3
143512, True, N3
143513, True, N3
143514, True, N3
143515, True, N3
143516, True, N3
143517, True, N3
143518, True, N3
143519, True, N3
143520, True, N3
143521, True, N3
143525, True, N3
143526, True, N3
143527, True, N3
143528, True, N3
143529, True, N3
143530, True, N3
143531, True, N3
143532, True, N3
143533, True, N3
143534, True, N3
143535, True, N3
143536, True, N3
143537, True, N3
143538, True, N3
143601, False, N3
143602, True, N3
143603, False, N3
143604, True, N3
143605, True, N3
143606, True, N3
144000, True, N3
144001, False, N3
144002, False, N3
144003, False, N3
144004, False, N3
144005, False, N3
144006, False, N3
144007, False, N3
144008, False, N3
144009, False, N3
144010, False, N3
144011, False, N3
144012, False, N3
144013, False, N3
144014, False, N3
144015, False, N3
144020, False, N3
144021, False, N3
144022, False, N3
144023, False, N3
144024, False, N3
144025, False, N3
144026, False, N3
144027, False, N3
144028, False, N3
144029, False, N3
144030, False, N3
144031, True, N3
144032, False, N3
144033, False, N3
144034, False, N3
144035, False, N3
144036, False, N3
144037, False, N3
144038, False, N3
144039, False, N3
144040, True, N3
144041, True, N3
144042, False, N3
144043, False, N3
144044, False, N3
144101, False, N3
144102, False, N3
144103, False, N3
144104, False, N3
144105, False, N3
144106, False, N3
144201, False, N3
144202, True, N3
144203, True, N3
144204, True, N3
144205, True, N3
144206, True, N3
144207, True, N3
144208, False, N3
144209, False, N3
144210, False, N3
144211, True, N3
144212, True, N3
144213, True, N3
144214, True, N3
144216, True, N3
144221, True, N3
144222, True, N3
144223, True, N3
144224, True, N3
144301, False, N3
144302, False, N3
144303, False, N3
144304, True, N3
144305, True, N3
144306, True, N3
144311, False, N3
144401, False, N3
144402, True, N3
144403, False, N3
144404, True, N3
144405, True, N3
144406, True, N3
144407, False, N3
144408, False, N3
144409, True, N3
144410, True, N2
144411, True, N3
144415, True, N3
144416, True, N3
144417, True, N3
144418, True, N3
144419, False, N3
144421, True, N3
144422, True, N3
144424, True, N3
144501, True, N3
144502, True, N3
144503, True, N3
144504, True, N3
144505, True, N3
144506, True, N3
144507, True, N3
144508, True, N3
144509, True, N3
144510, True, N3
144511, False, N3
144512, True, N3
144513, True, N3
144514, True, N3
144515, True, N3
144516, True, N3
144517, True, N3
144518, True, N3
144519, True, N3
144520, True, N3
144521, True, N3
144522, True, N3
144523, True, N3
144524, True, N3
144525, True, N3
144526, True, N3
144527, True, N3
144528, True, N3
144529, True, N3
144530, True, N3
144531, True, N3
144532, True, N3
144533, False, N3
144601, False, N3
144602, True, N3
144603, False, N3
144606, True, N3
144620, True, N3
144621, True, N3
144622, True, N3
144623, False, N3
144624, True, N3
144625, True, N3
144626, True, N3
144628, True, N3
144629, True, N3
144630, False, N3
144631, False, N3
144632, True, N3
144633, False, N3
144701, True, N3
144702, False, N3
144703, False, N3
144801, True, N3
144802, True, N3
144803, False, N3
144804, True, N3
144805, False, N3
144806, True, N3
144819, True, N3
145001, False, N3
145002, True, N3
145003, False, N3
145021, False, N3
145022, True, N3
145023, True, N3
145024, True, N3
145025, True, N3
145026, True, N3
145027, True, N3
145029, True, N3
145101, True, N3
145105, True, N3
146001, False, N3
146002, False, N3
146006, False, N1
146021, False, N3
146022, False, N3
146023, False, N3
146024, False, N3
146101, False, N3
146102, False, N3
146103, False, N3
146104, True, N3
146105, True, N3
146106, True, N3
146107, True, N3
146108, True, N3
146109, True, N3
146110, False, N3
146111, True, N3
146112, False, N3
146113, False, N3
146114, False, N3
146115, False, N3
146116, False, N3
147001, False, N3
147002, True, N3
147003, True, N3
147004, True, N3
147005, True, N3
147006, True, N3
147007, True, N3
147008, True, N3
147021, True, N3
147101, True, N3
147102, True, N3
147103, True, N3
147104, False, N3
147105, True, N3
147111, True, N3
147201, False, N3
147202, True, N3
147203, True, N3
147204, False, N3
147301, False, N3
148000, False, N3
148001, False, N3
148002, True, N3
148004, False, N3
148005, False, N3
148006, False, N3
148007, False, N3
148008, False, N3
148017, True, N3
148018, False, N3
